Analysis de Tiempo ,,,,
ID = 4026,,,,
start_time (segundos) según input hidden de la respuesta del servidor,duración de cada pregunta (segundos) según start_time,,duración de cada pregunta (segundos) según estadística en LS,
1542919908,13,,"13,18",
1542919921,10,,"10,02",
1542919931,16,,"16,12",
1542919947,10,,"10,77",
1542919957,18,,"18,29",
1542919975,17,,"17,57",
1542919992,18,,"18,49",
1542920010,6,,"6,44",
1542920016,11,,"11,68",
1542920027,12,,"12,02",
1542920039,12,,"12,06",
1542920051,19,,"19,19",
1542920070,16,,"16,56",
1542920086,16,,"16,31",
1542920102,15,,15,
1542920117,18,,"18,21",
1542920135,17,,"17,25",
1542920152,7,,"7,55",
1542920159,9,,"9,77",
1542920168,6,,"6,68",
1542920174,11,,"11,47",
1542920185,15,,"15,07",
1542920200,15,,"15,42",
1542920215,11,,"11,71",
1542920226,7,,"7,46",
1542920233,15,,"15,46",
1542920248,18,,"18,72",
1542920266,12,,"12,7",
1542920278,20,,"19,95",
1542920298,18,,"18,12",
1542920316,13,,"12,9",
1542920329,10,,"10,67",
1542920339,14,,"14,4",
1542920353,13,,"13,63",
1542920366,8,,"8,8",
1542920374,7,,"7,27",
1542920381,12,,"12,48",
1542920393,9,,"8,78",
1542920402,8,,"8,76",
1542920410,12,,"12,77",
1542920422,10,,"9,93",
1542920432,7,,"7,61",
1542920439,14,,"13,94",
1542920453,14,,"14,06",
1542920467,11,,"11,84",
1542920478,11,,"11,16",
1542920489,17,,"16,98",
1542920506,11,,"11,15",
1542920517,18,,"18,62",
1542920535,19,,"19,16",
1542920554,18,,"18,5",
1542920572,19,,"19,78",
1542920591,6,,"6,55",
1542920597,19,,"19,54",
1542920616,12,,"12,75",
1542920628,16,,"16,54",
1542920644,11,,"11,68",
1542920655,9,,"9,06",
1542920664,14,,"14,2",
1542920678,12,,"11,88",
1542920690,12,,"11,86",
,suma:,794,suma:,"816,49"
,,,,
client end time:,,,,
1542920702,,,,
,,,,
Total time client:,,,Difference,"22,49"
794,,,,
,,,,
,,,,
,,,,
,,,,
Total time of Gatling Test run:,,,,
825,,,,
,,,,
,,,,
Start Date according to Responds View,,,,
1542919908,,,,
,,,,
,,,,
last activity according to Responds View,,,,
1542920701,,,,
